Dataset information
-- Columns ['image', 'label']
-- Shape (75000, 2)
-- Label ClassLabel(names=['Arborio', 'Basmati', 'Ipsala', 'Jasmine', 'Karacadag'], id=None)
-- Image Image(mode=None, decode=True, id=None)
Train dataset (67500, 2)
Val dataset (7500, 2)
First image
-- image label tensor(3)
-- image shape torch.Size([3, 250, 250])
Running on device: mps
Number of parameters 134281029
EPOCH: 1/1 | BATCH: 1/1054 | BATCH LOSS: 1.6143 | BATCH ACCURACY: 0.2500
EPOCH: 1/1 | BATCH: 2/1054 | BATCH LOSS: 1.6033 | BATCH ACCURACY: 0.2812
EPOCH: 1/1 | BATCH: 3/1054 | BATCH LOSS: 1.5986 | BATCH ACCURACY: 0.2812
EPOCH: 1/1 | BATCH: 4/1054 | BATCH LOSS: 1.6049 | BATCH ACCURACY: 0.2031
EPOCH: 1/1 | BATCH: 5/1054 | BATCH LOSS: 1.6096 | BATCH ACCURACY: 0.2344
EPOCH: 1/1 | BATCH: 6/1054 | BATCH LOSS: 1.5669 | BATCH ACCURACY: 0.3281
EPOCH: 1/1 | BATCH: 7/1054 | BATCH LOSS: 1.6008 | BATCH ACCURACY: 0.2812
EPOCH: 1/1 | BATCH: 8/1054 | BATCH LOSS: 1.5922 | BATCH ACCURACY: 0.2344
EPOCH: 1/1 | BATCH: 9/1054 | BATCH LOSS: 1.5470 | BATCH ACCURACY: 0.3125
EPOCH: 1/1 | BATCH: 10/1054 | BATCH LOSS: 1.5743 | BATCH ACCURACY: 0.2656
EPOCH: 1/1 | BATCH: 11/1054 | BATCH LOSS: 1.5368 | BATCH ACCURACY: 0.2812
EPOCH: 1/1 | BATCH: 12/1054 | BATCH LOSS: 1.4912 | BATCH ACCURACY: 0.2656
EPOCH: 1/1 | BATCH: 13/1054 | BATCH LOSS: 1.5032 | BATCH ACCURACY: 0.2188
EPOCH: 1/1 | BATCH: 14/1054 | BATCH LOSS: 1.4028 | BATCH ACCURACY: 0.3906
EPOCH: 1/1 | BATCH: 15/1054 | BATCH LOSS: 1.4644 | BATCH ACCURACY: 0.4219
EPOCH: 1/1 | BATCH: 16/1054 | BATCH LOSS: 1.2826 | BATCH ACCURACY: 0.5312
EPOCH: 1/1 | BATCH: 17/1054 | BATCH LOSS: 1.4708 | BATCH ACCURACY: 0.4062
EPOCH: 1/1 | BATCH: 18/1054 | BATCH LOSS: 1.3201 | BATCH ACCURACY: 0.3750
EPOCH: 1/1 | BATCH: 19/1054 | BATCH LOSS: 1.6425 | BATCH ACCURACY: 0.2188
EPOCH: 1/1 | BATCH: 20/1054 | BATCH LOSS: 1.2180 | BATCH ACCURACY: 0.4531
EPOCH: 1/1 | BATCH: 21/1054 | BATCH LOSS: 1.4055 | BATCH ACCURACY: 0.5000
EPOCH: 1/1 | BATCH: 22/1054 | BATCH LOSS: 1.2879 | BATCH ACCURACY: 0.4844
EPOCH: 1/1 | BATCH: 23/1054 | BATCH LOSS: 1.5244 | BATCH ACCURACY: 0.4375
EPOCH: 1/1 | BATCH: 24/1054 | BATCH LOSS: 1.3648 | BATCH ACCURACY: 0.4531
EPOCH: 1/1 | BATCH: 25/1054 | BATCH LOSS: 1.3372 | BATCH ACCURACY: 0.4688
EPOCH: 1/1 | BATCH: 26/1054 | BATCH LOSS: 1.3116 | BATCH ACCURACY: 0.4219
EPOCH: 1/1 | BATCH: 27/1054 | BATCH LOSS: 1.1915 | BATCH ACCURACY: 0.4531
EPOCH: 1/1 | BATCH: 28/1054 | BATCH LOSS: 0.9224 | BATCH ACCURACY: 0.5469
EPOCH: 1/1 | BATCH: 29/1054 | BATCH LOSS: 0.9599 | BATCH ACCURACY: 0.6406
EPOCH: 1/1 | BATCH: 30/1054 | BATCH LOSS: 1.0836 | BATCH ACCURACY: 0.5156
EPOCH: 1/1 | BATCH: 31/1054 | BATCH LOSS: 1.2561 | BATCH ACCURACY: 0.5781
EPOCH: 1/1 | BATCH: 32/1054 | BATCH LOSS: 1.0751 | BATCH ACCURACY: 0.5312
EPOCH: 1/1 | BATCH: 33/1054 | BATCH LOSS: 1.0023 | BATCH ACCURACY: 0.7969
EPOCH: 1/1 | BATCH: 34/1054 | BATCH LOSS: 1.0656 | BATCH ACCURACY: 0.5938
EPOCH: 1/1 | BATCH: 35/1054 | BATCH LOSS: 1.2022 | BATCH ACCURACY: 0.4062
EPOCH: 1/1 | BATCH: 36/1054 | BATCH LOSS: 1.0332 | BATCH ACCURACY: 0.4844
EPOCH: 1/1 | BATCH: 37/1054 | BATCH LOSS: 0.9911 | BATCH ACCURACY: 0.5000
EPOCH: 1/1 | BATCH: 38/1054 | BATCH LOSS: 0.7422 | BATCH ACCURACY: 0.6875
EPOCH: 1/1 | BATCH: 39/1054 | BATCH LOSS: 0.7103 | BATCH ACCURACY: 0.7344
EPOCH: 1/1 | BATCH: 40/1054 | BATCH LOSS: 0.9858 | BATCH ACCURACY: 0.7344
EPOCH: 1/1 | BATCH: 41/1054 | BATCH LOSS: 0.5917 | BATCH ACCURACY: 0.7969
EPOCH: 1/1 | BATCH: 42/1054 | BATCH LOSS: 0.6159 | BATCH ACCURACY: 0.7969
