Dataset information
-- Columns ['image', 'label']
-- Shape (75000, 2)
-- Label ClassLabel(names=['Arborio', 'Basmati', 'Ipsala', 'Jasmine', 'Karacadag'], id=None)
-- Image Image(mode=None, decode=True, id=None)
Train dataset (67500, 2)
Val dataset (7500, 2)
First image
-- image label tensor(4)
-- image shape torch.Size([3, 250, 250])
Running on device: mps
Number of parameters 87054575
EPOCH: 1/1 | BATCH: 53/1054 | BATCH LOSS: 0.1468 | BATCH ACCURACY: 0.9375
EPOCH: 1/1 | BATCH: 54/1054 | BATCH LOSS: 0.4510 | BATCH ACCURACY: 0.7812
EPOCH: 1/1 | BATCH: 55/1054 | BATCH LOSS: 0.2618 | BATCH ACCURACY: 0.8906
EPOCH: 1/1 | BATCH: 56/1054 | BATCH LOSS: 0.2159 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 57/1054 | BATCH LOSS: 0.1052 | BATCH ACCURACY: 0.9844
EPOCH: 1/1 | BATCH: 58/1054 | BATCH LOSS: 0.1742 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 59/1054 | BATCH LOSS: 0.1493 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 60/1054 | BATCH LOSS: 0.1171 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 61/1054 | BATCH LOSS: 0.2001 | BATCH ACCURACY: 0.9375
EPOCH: 1/1 | BATCH: 62/1054 | BATCH LOSS: 0.0758 | BATCH ACCURACY: 0.9844
EPOCH: 1/1 | BATCH: 63/1054 | BATCH LOSS: 0.1227 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 64/1054 | BATCH LOSS: 0.1878 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 65/1054 | BATCH LOSS: 0.1415 | BATCH ACCURACY: 0.9375
EPOCH: 1/1 | BATCH: 66/1054 | BATCH LOSS: 0.0922 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 67/1054 | BATCH LOSS: 0.2602 | BATCH ACCURACY: 0.9219
EPOCH: 1/1 | BATCH: 68/1054 | BATCH LOSS: 0.1893 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 69/1054 | BATCH LOSS: 0.1234 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 70/1054 | BATCH LOSS: 0.0744 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 71/1054 | BATCH LOSS: 0.1615 | BATCH ACCURACY: 0.9219
EPOCH: 1/1 | BATCH: 72/1054 | BATCH LOSS: 0.1851 | BATCH ACCURACY: 0.9219
EPOCH: 1/1 | BATCH: 73/1054 | BATCH LOSS: 0.1782 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 74/1054 | BATCH LOSS: 0.1227 | BATCH ACCURACY: 0.9375
EPOCH: 1/1 | BATCH: 75/1054 | BATCH LOSS: 0.0923 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 76/1054 | BATCH LOSS: 0.1608 | BATCH ACCURACY: 0.9375
EPOCH: 1/1 | BATCH: 77/1054 | BATCH LOSS: 0.0784 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 78/1054 | BATCH LOSS: 0.1118 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 79/1054 | BATCH LOSS: 0.1319 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 80/1054 | BATCH LOSS: 0.1614 | BATCH ACCURACY: 0.9062
EPOCH: 1/1 | BATCH: 81/1054 | BATCH LOSS: 0.1785 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 82/1054 | BATCH LOSS: 0.2152 | BATCH ACCURACY: 0.9219
EPOCH: 1/1 | BATCH: 83/1054 | BATCH LOSS: 0.1329 | BATCH ACCURACY: 0.9844
EPOCH: 1/1 | BATCH: 84/1054 | BATCH LOSS: 0.1202 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 85/1054 | BATCH LOSS: 0.1009 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 86/1054 | BATCH LOSS: 0.2021 | BATCH ACCURACY: 0.9375
EPOCH: 1/1 | BATCH: 87/1054 | BATCH LOSS: 0.0421 | BATCH ACCURACY: 1.0000
