0,20,5,17,0.25
1,38,7,48,0.18421052631578946
2,9,2,22,0.2222222222222222
3,3,0,5,0.0
4,11,5,42,0.45454545454545453
5,7,1,15,0.14285714285714285
6,27,25,49,0.9259259259259259
7,5,2,14,0.4
8,42,26,75,0.6190476190476191
9,25,2,47,0.08
10,11,5,26,0.45454545454545453
11,3,1,11,0.3333333333333333
12,16,2,25,0.125
13,20,6,62,0.3
14,6,0,7,0.0
15,4,1,7,0.25
16,28,17,43,0.6071428571428571
17,9,5,19,0.5555555555555556
18,12,0,5,0.0
19,47,33,109,0.7021276595744681
20,10,2,15,0.2
21,6,0,10,0.0
22,5,1,28,0.2
23,10,5,16,0.5
24,5,1,14,0.2
25,35,4,27,0.11428571428571428
26,16,1,28,0.0625
27,2,0,1,0.0
28,13,1,5,0.07692307692307693
29,26,6,65,0.23076923076923078
30,1,0,5,0.0
31,17,6,47,0.35294117647058826
32,22,3,25,0.13636363636363635
33,24,16,75,0.6666666666666666
34,6,4,9,0.6666666666666666
35,18,12,57,0.6666666666666666
36,3,1,5,0.3333333333333333
37,4,2,10,0.5
38,12,2,21,0.16666666666666666
39,25,1,44,0.04
40,15,7,35,0.4666666666666667
41,23,3,34,0.13043478260869565
42,4,1,6,0.25
43,24,24,51,1.0
44,15,3,28,0.2
45,31,5,25,0.16129032258064516
46,17,10,62,0.5882352941176471
47,24,7,52,0.2916666666666667
48,5,4,12,0.8
49,20,1,15,0.05
50,10,5,26,0.5
51,15,2,16,0.13333333333333333
52,11,5,33,0.45454545454545453
53,24,5,26,0.20833333333333334
54,20,14,45,0.7
55,12,10,30,0.8333333333333334
56,54,38,166,0.7037037037037037
57,13,7,23,0.5384615384615384
58,9,0,2,0.0
59,47,15,111,0.3191489361702128
60,29,5,49,0.1724137931034483
61,28,1,3,0.03571428571428571
62,2,0,6,0.0
63,14,8,23,0.5714285714285714
64,46,3,8,0.06521739130434782
65,2,2,5,1.0
66,17,5,24,0.29411764705882354
67,9,0,18,0.0
68,6,5,15,0.8333333333333334
69,6,3,18,0.5
70,25,8,72,0.32
71,36,0,49,0.0
72,6,2,7,0.3333333333333333
73,9,0,36,0.0
74,8,3,13,0.375
75,8,5,24,0.625
76,14,6,32,0.42857142857142855
77,31,9,53,0.2903225806451613
78,8,1,4,0.125
79,48,7,86,0.14583333333333334
80,7,0,8,0.0
81,1,0,6,0.0
82,8,1,6,0.125
83,16,7,22,0.4375
84,13,2,19,0.15384615384615385
85,45,3,45,0.06666666666666667
86,27,7,48,0.25925925925925924
87,4,0,3,0.0
88,7,1,11,0.14285714285714285
89,10,4,18,0.4
90,6,0,8,0.0
91,54,26,145,0.48148148148148145
92,58,38,107,0.6551724137931034
93,61,35,99,0.5737704918032787
94,64,34,127,0.53125
95,14,10,29,0.7142857142857143
96,19,11,48,0.5789473684210527
97,5,3,23,0.6
98,22,10,58,0.45454545454545453
99,28,4,26,0.14285714285714285
100,19,1,27,0.05263157894736842
101,2,2,8,1.0
102,17,2,19,0.11764705882352941
103,20,12,52,0.6
104,1,1,6,1.0
105,1,1,3,1.0
106,10,6,26,0.6
107,3,0,7,0.0
108,6,0,42,0.0
109,12,2,17,0.16666666666666666
